aid,tid,capacity,role,charid,impid,voice,epid,sid
Kate McKinnon,202104101,cast,Joanne,,,FALSE,20210410,46
Alex Moffat,202104101,cast,Craig Matthew Yorgensen,,,FALSE,20210410,46
Ego Nwodim,202104101,cast,anchor,,,FALSE,20210410,46
Chris Redd,202104101,cast,Calvin,,,FALSE,20210410,46
Kenan Thompson,202104101,cast,anchor,,,FALSE,20210410,46
Carey Mulligan,202104102,host,,,,FALSE,20210410,46
Marcus Mumford,202104102,cameo,,,,FALSE,20210410,46
Carey Mulligan,202104103,host,Sandra,,,FALSE,20210410,46
Aidy Bryant,202104103,cast,Rebecca,1098.0,,FALSE,20210410,46
Steve Higgins,202104103,cast,announcer,,,TRUE,20210410,46
Chris Redd,202104103,cast,William,,,FALSE,20210410,46
Kenan Thompson,202104103,cast,Elliott Pants,1087.0,,FALSE,20210410,46
Carey Mulligan,202104104,host,mother,,,FALSE,20210410,46
Aidy Bryant,202104104,cast,teacher,,,FALSE,20210410,46
Mikey Day,202104104,cast,father,,,FALSE,20210410,46
Heidi Gardner,202104104,cast,announcer,,,TRUE,20210410,46
Lauren Holt,202104104,cast,mother,,,FALSE,20210410,46
Kenan Thompson,202104104,cast,Herman,,,FALSE,20210410,46
Carey Mulligan,202104105,host,Chrissy,,,FALSE,20210410,46
Aidy Bryant,202104105,cast,Jason,,,FALSE,20210410,46
Kate McKinnon,202104105,cast,Josh,,,FALSE,20210410,46
Carey Mulligan,202104106,host,Sally,,,FALSE,20210410,46
Kid Cudi,202104106,music,,,,FALSE,20210410,46
Timothee Chalamet,202104106,filmed,,,,FALSE,20210410,46
Aidy Bryant,202104106,cast,grandma,,,FALSE,20210410,46
Pete Davidson,202104106,cast,,,,FALSE,20210410,46
Chloe Fineman,202104106,cast,girl,,,FALSE,20210410,46
Chris Redd,202104106,cast,,,,FALSE,20210410,46
Kid Cudi,202104107,music,,,,FALSE,20210410,46
Darrell Hammond,202104108,cast,announcer,,,TRUE,20210410,46
Colin Jost,202104108,cast,,,,FALSE,20210410,46
Michael Che,202104108,cast,,,,FALSE,20210410,46
Chris Redd,202104108,cast,Barack Obama,,4142.0,FALSE,20210410,46
Beck Bennett,202104108,cast,Bruce Springsteen,,4143.0,FALSE,20210410,46
Punkie Johnson,202104108,cast,Pineapple Penelope Peters,,,FALSE,20210410,46
Bowen Yang,202104108,cast,Iceberg,,,FALSE,20210410,46
Carey Mulligan,2021041010,host,McKenna McLord Davies,,,FALSE,20210410,46
Beck Bennett,2021041010,cast,captain,,,FALSE,20210410,46
Mikey Day,2021041010,cast,Zachary,,,FALSE,20210410,46
Chloe Fineman,2021041010,cast,crew member,,,FALSE,20210410,46
Steve Higgins,2021041010,cast,announcer,,,TRUE,20210410,46
Kate McKinnon,2021041010,cast,corporal,,,FALSE,20210410,46
Alex Moffat,2021041010,cast,crew member,,,FALSE,20210410,46
Ego Nwodim,2021041010,cast,crew member,,,FALSE,20210410,46
Bowen Yang,2021041010,cast,crew member,,,FALSE,20210410,46
Carey Mulligan,2021041011,host,woman,,,FALSE,20210410,46
Beck Bennett,2021041011,cast,husband,,,FALSE,20210410,46
Heidi Gardner,2021041011,cast,woman,,,FALSE,20210410,46
Kate McKinnon,2021041011,cast,Beverly,,,FALSE,20210410,46
Alex Moffat,2021041011,cast,doctor,,,FALSE,20210410,46
Carey Mulligan,2021041012,host,Mary Pembrook,,,FALSE,20210410,46
Beck Bennett,2021041012,cast,narrator,,,TRUE,20210410,46
Mikey Day,2021041012,cast,Bertie Pembrook,,,FALSE,20210410,46
Steve Higgins,2021041012,cast,announcer,,,TRUE,20210410,46
Kid Cudi,2021041013,music,,,,FALSE,20210410,46
Carey Mulligan,2021041014,host,Janey,,,FALSE,20210410,46
Aidy Bryant,2021041014,cast,salesperson,,,FALSE,20210410,46
Andrew Dismukes,2021041014,cast,student,,,FALSE,20210410,46
Heidi Gardner,2021041014,cast,student,,,FALSE,20210410,46
Steve Higgins,2021041014,cast,announcer,,,TRUE,20210410,46
Kyle Mooney,2021041014,cast,Blaise,,,FALSE,20210410,46
Ego Nwodim,2021041014,cast,student,,,FALSE,20210410,46
Pete Davidson,202104031,cast,Matt Gaetz,,4141.0,FALSE,20210403,46
Mikey Day,202104031,cast,Gary,,,FALSE,20210403,46
Chloe Fineman,202104031,cast,Britney Spears,,4057.0,FALSE,20210403,46
Kate McKinnon,202104031,cast,Pepé Le Pew,,,FALSE,20210403,46
Chris Redd,202104031,cast,Lil Nas X,,4140.0,FALSE,20210403,46
Cecily Strong,202104031,cast,announcer,,,TRUE,20210403,46
Daniel Kaluuya,202104032,host,,,,FALSE,20210403,46
Daniel Kaluuya,202104033,host,Dr. Tevin Jones,,,FALSE,20210403,46
Heidi Gardner,202104033,cast,Sarah,,,FALSE,20210403,46
Punkie Johnson,202104033,cast,Shauna,,,FALSE,20210403,46
Ego Nwodim,202104033,cast,Tasha,,,FALSE,20210403,46
Chris Redd,202104033,cast,Donald,,,FALSE,20210403,46
Kenan Thompson,202104033,cast,Uncle Derek,,,FALSE,20210403,46
Daniel Kaluuya,202104034,host,JP,,,FALSE,20210403,46
Kyle Mooney,202104034,cast,Marky Munro,,,FALSE,20210403,46
Daniel Kaluuya,202104035,host,Steven,,,FALSE,20210403,46
Mikey Day,202104035,cast,father,,,FALSE,20210403,46
Heidi Gardner,202104035,cast,daughter,,,FALSE,20210403,46
Steve Higgins,202104035,cast,announcer,,,TRUE,20210403,46
Kate McKinnon,202104035,cast,Mrs. K,,,FALSE,20210403,46
Daniel Kaluuya,202104036,host,Mr. Obi,,,FALSE,20210403,46
Beck Bennett,202104036,cast,guest,,,FALSE,20210403,46
Aidy Bryant,202104036,cast,Linda Pine,,,FALSE,20210403,46
Andrew Dismukes,202104036,cast,Nick,,,FALSE,20210403,46
Kate McKinnon,202104036,cast,Debbie,,,FALSE,20210403,46
Ego Nwodim,202104036,cast,Pearl Obi,,,FALSE,20210403,46
Chris Redd,202104036,cast,David,,,FALSE,20210403,46
Kenan Thompson,202104036,cast,guest,,,FALSE,20210403,46
St. Vincent,202104037,music,,,,FALSE,20210403,46
Darrell Hammond,202104038,cast,announcer,,,TRUE,20210403,46
Colin Jost,202104038,cast,,,,FALSE,20210403,46
Michael Che,202104038,cast,,,,FALSE,20210403,46
Kate McKinnon,202104038,cast,Vaneta Starkie,1079.0,,FALSE,20210403,46
Aidy Bryant,202104038,cast,Wylene Starkie,1080.0,,FALSE,20210403,46
Alex Moffat,202104038,cast,Guy Who Just Bought a Boat,1024.0,,FALSE,20210403,46
Heidi Gardner,202104038,cast,Hattie Deeley,,,FALSE,20210403,46
Mikey Day,202104038,cast,Jeff Deeley,,,FALSE,20210403,46
Daniel Kaluuya,202104039,host,guy,,,FALSE,20210403,46
Beck Bennett,202104039,cast,guy,,,FALSE,20210403,46
Aidy Bryant,202104039,cast,mom,,,FALSE,20210403,46
Pete Davidson,202104039,cast,guy,,,FALSE,20210403,46
Mikey Day,202104039,cast,Gabe,,,FALSE,20210403,46
Andrew Dismukes,202104039,cast,pledge,,,FALSE,20210403,46
Punkie Johnson,202104039,cast,mom,,,FALSE,20210403,46
Kate McKinnon,202104039,cast,mom,,,FALSE,20210403,46
Alex Moffat,202104039,cast,guy,,,FALSE,20210403,46
Kyle Mooney,202104039,cast,guy,,,FALSE,20210403,46
Chris Redd,202104039,cast,guy,,,FALSE,20210403,46
Cecily Strong,202104039,cast,mom,,,FALSE,20210403,46
Bowen Yang,202104039,cast,Matt,,,FALSE,20210403,46
Daniel Kaluuya,2021040310,host,Mark,,,FALSE,20210403,46
Andrew Dismukes,2021040310,cast,Steve,,,FALSE,20210403,46
Ego Nwodim,2021040310,cast,Jessica,,,FALSE,20210403,46
St. Vincent,2021040311,music,,,,FALSE,20210403,46
Daniel Kaluuya,2021040312,host,Lars,,,FALSE,20210403,46
Beck Bennett,2021040312,cast,Dale,,,FALSE,20210403,46
Aidy Bryant,2021040312,cast,guest,,,FALSE,20210403,46
Ego Nwodim,2021040312,cast,guest,,,FALSE,20210403,46
Cecily Strong,2021040312,cast,Jolene,,,FALSE,20210403,46
Kenan Thompson,2021040312,cast,brother,,,FALSE,20210403,46
Maya Rudolph,202103271,host,Cece Vuvuzela,,,FALSE,20210327,46
Beck Bennett,202103271,cast,contestant,,,FALSE,20210327,46
Chloe Fineman,202103271,cast,Madison,,,FALSE,20210327,46
Heidi Gardner,202103271,cast,Lego,,,FALSE,20210327,46
Kyle Mooney,202103271,cast,contestant,,,FALSE,20210327,46
Ego Nwodim,202103271,cast,Poots,,,FALSE,20210327,46
Chris Redd,202103271,cast,contestant,,,FALSE,20210327,46
Cecily Strong,202103271,cast,announcer,,,TRUE,20210327,46
Melissa Villasenor,202103271,cast,Leopold,,,FALSE,20210327,46
Maya Rudolph,202103272,host,,,,FALSE,20210327,46
Andrew Dismukes,202103272,cast,,,,FALSE,20210327,46
Lauren Holt,202103272,cast,,,,FALSE,20210327,46
Punkie Johnson,202103272,cast,,,,FALSE,20210327,46
Maya Rudolph,202103273,host,Beyoncé,,2258.0,FALSE,20210327,46
Mikey Day,202103273,cast,Sean Evans,,4134.0,FALSE,20210327,46
Alex Moffat,202103273,cast,Todd,,,FALSE,20210327,46
Ego Nwodim,202103273,cast,publicist,,,FALSE,20210327,46
Kenan Thompson,202103273,cast,D'Michelangelo,,,FALSE,20210327,46
Maya Rudolph,202103274,host,Beth Rodgers,,,FALSE,20210327,46
Aidy Bryant,202103274,cast,boomer,,,FALSE,20210327,46
Mikey Day,202103274,cast,boomer,,,FALSE,20210327,46
Andrew Dismukes,202103274,cast,guy,,,FALSE,20210327,46
Kate McKinnon,202103274,cast,boomer,,,FALSE,20210327,46
Kyle Mooney,202103274,cast,boomer,,,FALSE,20210327,46
Ego Nwodim,202103274,cast,Edith Puthie,1099.0,,FALSE,20210327,46
Chris Redd,202103274,cast,boomer,,,FALSE,20210327,46
Kenan Thompson,202103274,cast,boomer,,,FALSE,20210327,46
Melissa Villasenor,202103274,cast,boomer,,,FALSE,20210327,46
Maya Rudolph,202103275,host,Kamala Harris,,4005.0,FALSE,20210327,46
Martin Short,202103275,cameo,Doug Emhoff,,4135.0,FALSE,20210327,46
Aidy Bryant,202103275,cast,Ted Cruz,,4121.0,FALSE,20210327,46
Chloe Fineman,202103275,cast,Ella Emhoff,,4136.0,FALSE,20210327,46
Steve Higgins,202103275,cast,announcer,,,TRUE,20210327,46
Alex Moffat,202103275,cast,Joe Biden,,4096.0,FALSE,20210327,46
Cecily Strong,202103275,cast,Marjorie Taylor Greene,,4100.0,FALSE,20210327,46
Kenan Thompson,202103275,cast,Raphael Warnock,,4137.0,FALSE,20210327,46
Jack Harlow,202103276,music,custodian,,,FALSE,20210327,46
Pete Davidson,202103276,cast,student,,,FALSE,20210327,46
Kate McKinnon,202103276,cast,Janet Yellen,,4138.0,FALSE,20210327,46
Kyle Mooney,202103276,cast,professor,,,FALSE,20210327,46
Chris Redd,202103276,cast,student,,,FALSE,20210327,46
Jack Harlow,202103277,music,,,,FALSE,20210327,46
Darrell Hammond,202103278,cast,announcer,,,TRUE,20210327,46
Colin Jost,202103278,cast,,,,FALSE,20210327,46
Michael Che,202103278,cast,,,,FALSE,20210327,46
Cecily Strong,202103278,cast,Sidney Powell,,4139.0,FALSE,20210327,46
Bowen Yang,202103278,cast,,,,FALSE,20210327,46
Maya Rudolph,202103279,host,Tanya Katank,,,FALSE,20210327,46
Beck Bennett,202103279,cast,producer,,,FALSE,20210327,46
Andrew Dismukes,202103279,cast,dancer,,,FALSE,20210327,46
Chloe Fineman,202103279,cast,dancer,,,FALSE,20210327,46
Lauren Holt,202103279,cast,Donna,,,FALSE,20210327,46
Chris Redd,202103279,cast,dancer,,,FALSE,20210327,46
Kenan Thompson,202103279,cast,Richard Perquest,,,FALSE,20210327,46
Maya Rudolph,2021032710,host,Sally O'Flappy,,,FALSE,20210327,46
Beck Bennett,2021032710,cast,announcer,,,TRUE,20210327,46
Aidy Bryant,2021032710,cast,Peanuts,,,FALSE,20210327,46
Mikey Day,2021032710,cast,Mick Flint,,,FALSE,20210327,46
Andrew Dismukes,2021032710,cast,guy,,,FALSE,20210327,46
Heidi Gardner,2021032710,cast,Just Marge,,,FALSE,20210327,46
Lauren Holt,2021032710,cast,Hannah NoMoney,,,FALSE,20210327,46
Kate McKinnon,2021032710,cast,Peaches,,,FALSE,20210327,46
Alex Moffat,2021032710,cast,Pissy Carmichael,,,FALSE,20210327,46
Kyle Mooney,2021032710,cast,Teeny Petey Rancini,,,FALSE,20210327,46
Chris Redd,2021032710,cast,Big John,,,FALSE,20210327,46
Cecily Strong,2021032710,cast,Missy Shoots,,,FALSE,20210327,46
Kenan Thompson,2021032710,cast,Flip Rick,,,FALSE,20210327,46
Jack Harlow,2021032711,music,,,,FALSE,20210327,46
Adam Levine,2021032711,cameo,,,,FALSE,20210327,46
Maya Rudolph,2021032712,host,,,,FALSE,20210327,46
Rachel Dratch,2021032712,filmed,,,,FALSE,20210327,46
Tina Fey,2021032712,filmed,Gloria Zelwig,,,FALSE,20210327,46
Beck Bennett,2021032712,cast,,,,FALSE,20210327,46
Andrew Dismukes,2021032712,cast,,,,FALSE,20210327,46
Alex Moffat,2021032712,cast,bartender,,,FALSE,20210327,46
Kenan Thompson,2021032712,cast,cook,,,FALSE,20210327,46
Aidy Bryant,202102271,cast,Ted Cruz,,4121.0,FALSE,20210227,46
Pete Davidson,202102271,cast,Andrew Cuomo,,4126.0,FALSE,20210227,46
Mikey Day,202102271,cast,Seymour Foreman,,,FALSE,20210227,46
Heidi Gardner,202102271,cast,Jane F.,,,FALSE,20210227,46
Steve Higgins,202102271,cast,announcer,,,TRUE,20210227,46
Kate McKinnon,202102271,cast,Dr. Anthony Fauci,,4089.0,FALSE,20210227,46
Alex Moffat,202102271,cast,Gavin Newsom,,4130.0,FALSE,20210227,46
Ego Nwodim,202102271,cast,Kendall Frye,,,FALSE,20210227,46
Cecily Strong,202102271,cast,Gretchen Whitmer,,4131.0,FALSE,20210227,46
Melissa Villasenor,202102271,cast,contestant,,,FALSE,20210227,46
Bowen Yang,202102271,cast,Ronald,,,FALSE,20210227,46
Nick Jonas,202102272,host,,,,FALSE,20210227,46
Kevin Jonas,202102272,cameo,,,,FALSE,20210227,46
Beck Bennett,202102272,cast,,,,FALSE,20210227,46
Kate McKinnon,202102272,cast,,,,FALSE,20210227,46
Cecily Strong,202102272,cast,,,,FALSE,20210227,46
Kenan Thompson,202102272,cast,,,,FALSE,20210227,46
Nick Jonas,202102273,host,Nathan,,,FALSE,20210227,46
Pete Davidson,202102273,cast,Azuzal,,,FALSE,20210227,46
Mikey Day,202102273,cast,guy,,,FALSE,20210227,46
Heidi Gardner,202102273,cast,Krista,,,FALSE,20210227,46
Kate McKinnon,202102273,cast,Shannon Delgado,,,FALSE,20210227,46
Chris Redd,202102273,cast,guy,,,FALSE,20210227,46
Nick Jonas,202102274,host,guy,,,FALSE,20210227,46
Chloe Fineman,202102274,cast,girl,,,FALSE,20210227,46
Kate McKinnon,202102274,cast,girl,,,FALSE,20210227,46
Ego Nwodim,202102274,cast,girl,,,FALSE,20210227,46
Melissa Villasenor,202102274,cast,girl,,,FALSE,20210227,46
Nick Jonas,202102275,host,Prince Charming,,,FALSE,20210227,46
Aidy Bryant,202102275,cast,Mouselina,,,FALSE,20210227,46
Chloe Fineman,202102275,cast,Cinderella,,,FALSE,20210227,46
Steve Higgins,202102275,cast,announcer,,,TRUE,20210227,46
Kate McKinnon,202102275,cast,Lady Tremaine,,,FALSE,20210227,46
Cecily Strong,202102275,cast,Drizella,,,FALSE,20210227,46
Kenan Thompson,202102275,cast,Reginald,,,FALSE,20210227,46
Melissa Villasenor,202102275,cast,Anastasia,,,FALSE,20210227,46
Nick Jonas,202102276,host,guy,,,FALSE,20210227,46
Beck Bennett,202102276,cast,Mickey,,,FALSE,20210227,46
Mikey Day,202102276,cast,guy,,,FALSE,20210227,46
Heidi Gardner,202102276,cast,dancer,,,FALSE,20210227,46
Alex Moffat,202102276,cast,guy,,,FALSE,20210227,46
Kyle Mooney,202102276,cast,guy,,,FALSE,20210227,46
Ego Nwodim,202102276,cast,dancer,,,FALSE,20210227,46
Bowen Yang,202102276,cast,guy,,,FALSE,20210227,46
Nick Jonas,202102277,host,,,,FALSE,20210227,46
Darrell Hammond,202102278,cast,announcer,,,TRUE,20210227,46
Colin Jost,202102278,cast,,,,FALSE,20210227,46
Michael Che,202102278,cast,,,,FALSE,20210227,46
Kenan Thompson,202102278,cast,LaVar Ball,,3782.0,FALSE,20210227,46
Cecily Strong,202102278,cast,Marjorie Taylor Greene,,4100.0,FALSE,20210227,46
Nick Jonas,202102279,host,Malcolm,,,FALSE,20210227,46
Mikey Day,202102279,cast,Brett,,,FALSE,20210227,46
Heidi Gardner,202102279,cast,Brinkley,,,FALSE,20210227,46
Punkie Johnson,202102279,cast,employee,,,FALSE,20210227,46
Kyle Mooney,202102279,cast,Robert,,,FALSE,20210227,46
Ego Nwodim,202102279,cast,Fresia,,,FALSE,20210227,46
Nick Jonas,2021022710,host,,,,FALSE,20210227,46
Pete Davidson,2021022710,cast,Machine Gun Kelly,,4093.0,FALSE,20210227,46
Andrew Dismukes,2021022710,cast,animal expert,,,FALSE,20210227,46
Steve Higgins,2021022710,cast,announcer,,,TRUE,20210227,46
Lauren Holt,2021022710,cast,audience member,,,FALSE,20210227,46
Punkie Johnson,2021022710,cast,Brittani Warrick,,4094.0,FALSE,20210227,46
Ego Nwodim,2021022710,cast,Dionne Warwick,,4091.0,FALSE,20210227,46
Kenan Thompson,2021022710,cast,The Weeknd,,4132.0,FALSE,20210227,46
Melissa Villasenor,2021022710,cast,Dua Lipa,,4133.0,FALSE,20210227,46
Nick Jonas,2021022711,host,,,,FALSE,20210227,46
Nick Jonas,2021022712,host,John Susanson,,,FALSE,20210227,46
Andrew Dismukes,2021022712,cast,Guy Piano,,,FALSE,20210227,46
Lauren Holt,2021022712,cast,bartender,,,FALSE,20210227,46
Kate McKinnon,2021022712,cast,Suzanne Johnson,,,FALSE,20210227,46
Aidy Bryant,202102201,cast,Ted Cruz,,4121.0,FALSE,20210220,46
Pete Davidson,202102201,cast,Andrew Cuomo,,4126.0,FALSE,20210220,46
Chloe Fineman,202102201,cast,Britney Spears,,4057.0,FALSE,20210220,46
Cecily Strong,202102201,cast,Gina Carano,,4125.0,FALSE,20210220,46
Cecily Strong,202102201,cast,announcer,,,TRUE,20210220,46
Rege-Jean Page,202102202,host,,,,FALSE,20210220,46
Aidy Bryant,202102202,cast,,,,FALSE,20210220,46
Chloe Fineman,202102202,cast,,,,FALSE,20210220,46
Ego Nwodim,202102202,cast,,,,FALSE,20210220,46
Rege-Jean Page,202102203,host,Kingsley Ben-Adir,,4127.0,FALSE,20210220,46
Alex Moffat,202102203,cast,Hugh Grant,,3862.0,FALSE,20210220,46
Ego Nwodim,202102203,cast,Pam Barrett,,,FALSE,20210220,46
Chris Redd,202102203,cast,Daniel Kaluuya,,4128.0,FALSE,20210220,46
Kenan Thompson,202102203,cast,Ice Cube,,3085.0,FALSE,20210220,46
Rege-Jean Page,202102204,host,guy,,,FALSE,20210220,46
Bad Bunny,202102204,music,Reggie,,,FALSE,20210220,46
Pete Davidson,202102204,cast,guy,,,FALSE,20210220,46
Ego Nwodim,202102204,cast,girl,,,FALSE,20210220,46
Rege-Jean Page,202102205,host,Bobby,,,FALSE,20210220,46
Beck Bennett,202102205,cast,guy,,,FALSE,20210220,46
Pete Davidson,202102205,cast,guy,,,FALSE,20210220,46
Mikey Day,202102205,cast,guy,,,FALSE,20210220,46
Kate McKinnon,202102205,cast,guy,,,FALSE,20210220,46
Alex Moffat,202102205,cast,guy,,,FALSE,20210220,46
Kenan Thompson,202102205,cast,guy,,,FALSE,20210220,46
Bowen Yang,202102205,cast,guy,,,FALSE,20210220,46
Rege-Jean Page,202102206,host,Troy Duggins,,,FALSE,20210220,46
Aidy Bryant,202102206,cast,Angela Howe,,,FALSE,20210220,46
Pete Davidson,202102206,cast,Todd Dodley,,,FALSE,20210220,46
Mikey Day,202102206,cast,Chris-Michael Donahue,,,FALSE,20210220,46
Andrew Dismukes,202102206,cast,Shawn Cruck,,,FALSE,20210220,46
Chloe Fineman,202102206,cast,Minnie Marko,,,FALSE,20210220,46
Steve Higgins,202102206,cast,announcer,,,TRUE,20210220,46
Cecily Strong,202102206,cast,Denise Poots,,,FALSE,20210220,46
Rege-Jean Page,202102207,host,Donald,,,FALSE,20210220,46
Beck Bennett,202102207,cast,Mr. Foster,,,FALSE,20210220,46
Steve Higgins,202102207,cast,announcer,,,TRUE,20210220,46
Bowen Yang,202102207,cast,secretary,,,FALSE,20210220,46
Bad Bunny,202102208,music,,,,FALSE,20210220,46
Rosalia,202102208,cameo,,,,FALSE,20210220,46
Darrell Hammond,202102209,cast,announcer,,,TRUE,20210220,46
Colin Jost,202102209,cast,,,,FALSE,20210220,46
Michael Che,202102209,cast,,,,FALSE,20210220,46
Pete Davidson,202102209,cast,,,,FALSE,20210220,46
Heidi Gardner,202102209,cast,Jessie Raunch,,,FALSE,20210220,46
Rege-Jean Page,2021022010,host,captain,,,FALSE,20210220,46
Bad Bunny,2021022010,music,Johnny Fitzlafen,,,FALSE,20210220,46
Beck Bennett,2021022010,cast,sailor,,,FALSE,20210220,46
Beck Bennett,2021022010,cast,narrator,,,TRUE,20210220,46
Mikey Day,2021022010,cast,sailor,,,FALSE,20210220,46
Andrew Dismukes,2021022010,cast,sailor,,,FALSE,20210220,46
Steve Higgins,2021022010,cast,announcer,,,TRUE,20210220,46
Kate McKinnon,2021022010,cast,ship builder,,,FALSE,20210220,46
Alex Moffat,2021022010,cast,sailor,,,FALSE,20210220,46
Kyle Mooney,2021022010,cast,sailor,,,FALSE,20210220,46
Chris Redd,2021022010,cast,sailor,,,FALSE,20210220,46
Kenan Thompson,2021022010,cast,sailor,,,FALSE,20210220,46
Bowen Yang,2021022010,cast,sailor,,,FALSE,20210220,46
Rege-Jean Page,2021022011,host,Carl,,,FALSE,20210220,46
Beck Bennett,2021022011,cast,Dale,,,FALSE,20210220,46
Aidy Bryant,2021022011,cast,mother,,,FALSE,20210220,46
Andrew Dismukes,2021022011,cast,Charlie,,,FALSE,20210220,46
Heidi Gardner,2021022011,cast,Dana,,,FALSE,20210220,46
Punkie Johnson,2021022011,cast,Bernadette,,,FALSE,20210220,46
Ego Nwodim,2021022011,cast,guest,,,FALSE,20210220,46
Chris Redd,2021022011,cast,guest,,,FALSE,20210220,46
Kenan Thompson,2021022011,cast,guest,,,FALSE,20210220,46
Rege-Jean Page,2021022012,host,,,,FALSE,20210220,46
Pete Davidson,2021022012,cast,Randy,,,FALSE,20210220,46
Mikey Day,2021022012,cast,Richie,,,FALSE,20210220,46
Chloe Fineman,2021022012,cast,Phoebe Dynevor,,4129.0,FALSE,20210220,46
Kate McKinnon,2021022012,cast,Diedre,,,FALSE,20210220,46
Bad Bunny,2021022013,music,,,,FALSE,20210220,46
Rege-Jean Page,2021022014,host,Sam,,,FALSE,20210220,46
Beck Bennett,2021022014,cast,Corey,,,FALSE,20210220,46
Andrew Dismukes,2021022014,cast,Ricky,,,FALSE,20210220,46
Heidi Gardner,2021022014,cast,customer,,,FALSE,20210220,46
Kyle Mooney,2021022014,cast,Sean,,,FALSE,20210220,46
Beck Bennett,202102131,cast,Mitch McConnell,,3901.0,FALSE,20210213,46
Aidy Bryant,202102131,cast,Ted Cruz,,4121.0,FALSE,20210213,46
Pete Davidson,202102131,cast,Michael van der Veen,,4123.0,FALSE,20210213,46
Mikey Day,202102131,cast,Bruce Castor,,4122.0,FALSE,20210213,46
Kate McKinnon,202102131,cast,Lindsey Graham,,3653.0,FALSE,20210213,46
Alex Moffat,202102131,cast,Tucker Carlson,,3942.0,FALSE,20210213,46
Regina King,202102132,host,,,,FALSE,20210213,46
Kenan Thompson,202102132,cast,,,,FALSE,20210213,46
Regina King,202102133,host,Kendra Sutter,,,FALSE,20210213,46
Mikey Day,202102133,cast,Link Bronwin,,,FALSE,20210213,46
Alex Moffat,202102133,cast,Kevin Farkiss,,,FALSE,20210213,46
Kyle Mooney,202102133,cast,Matt Stainer,,,FALSE,20210213,46
Ego Nwodim,202102133,cast,DJ Snizz,,,FALSE,20210213,46
Cecily Strong,202102133,cast,Tampa Bay Janae,,,FALSE,20210213,46
Kenan Thompson,202102133,cast,Lil Idiot,,,FALSE,20210213,46
Beck Bennett,202102134,cast,Mike,,,FALSE,20210213,46
Mikey Day,202102134,cast,instructor,,,FALSE,20210213,46
Andrew Dismukes,202102134,cast,user,,,FALSE,20210213,46
Chloe Fineman,202102134,cast,user,,,FALSE,20210213,46
Heidi Gardner,202102134,cast,Sarah,,,FALSE,20210213,46
Lauren Holt,202102134,cast,mother,,,FALSE,20210213,46
Punkie Johnson,202102134,cast,instructor,,,FALSE,20210213,46
Kate McKinnon,202102134,cast,instructor,,,FALSE,20210213,46
Alex Moffat,202102134,cast,instructor,,,FALSE,20210213,46
Ego Nwodim,202102134,cast,Susan,,,FALSE,20210213,46
Cecily Strong,202102134,cast,announcer,,,TRUE,20210213,46
Melissa Villasenor,202102134,cast,user,,,FALSE,20210213,46
Bowen Yang,202102134,cast,instructor,,,FALSE,20210213,46
Regina King,202102135,host,Latrice Commode,,,FALSE,20210213,46
Punkie Johnson,202102135,cast,Tasha,,,FALSE,20210213,46
Ego Nwodim,202102135,cast,Chantel,,,FALSE,20210213,46
Chris Redd,202102135,cast,Darius,,,FALSE,20210213,46
Cecily Strong,202102135,cast,Wendy,,,FALSE,20210213,46
Kenan Thompson,202102135,cast,Denzel Tyrese Commode,,,FALSE,20210213,46
Regina King,202102136,host,Jane,,,FALSE,20210213,46
Aidy Bryant,202102136,cast,Trish,,,FALSE,20210213,46
Chloe Fineman,202102136,cast,guest,,,FALSE,20210213,46
Heidi Gardner,202102136,cast,guest,,,FALSE,20210213,46
Cecily Strong,202102136,cast,Sue,,,FALSE,20210213,46
Regina King,202102137,host,Detective Williams,,,FALSE,20210213,46
Beck Bennett,202102137,cast,sun,,,FALSE,20210213,46
Aidy Bryant,202102137,cast,gummy bear,,,FALSE,20210213,46
Pete Davidson,202102137,cast,gummy bear,,,FALSE,20210213,46
Mikey Day,202102137,cast,Ryan,,,FALSE,20210213,46
Andrew Dismukes,202102137,cast,hostage,,,FALSE,20210213,46
Melissa Villasenor,202102137,cast,Marge Simpson,,,FALSE,20210213,46
Bowen Yang,202102137,cast,officer,,,FALSE,20210213,46
Nathaniel Rateliff,202102138,music,,,,FALSE,20210213,46
Darrell Hammond,202102139,cast,announcer,,,TRUE,20210213,46
Colin Jost,202102139,cast,,,,FALSE,20210213,46
Michael Che,202102139,cast,,,,FALSE,20210213,46
Kate McKinnon,202102139,cast,Stephanie Green,,,FALSE,20210213,46
Lauren Holt,202102139,cast,Mackenzie Taylor-Joy,,,FALSE,20210213,46
Beck Bennett,202102139,cast,Tom Brady,,4124.0,FALSE,20210213,46
Regina King,2021021310,host,Fliona,,,FALSE,20210213,46
Aidy Bryant,2021021310,cast,Maxine,,,FALSE,20210213,46
Andrew Dismukes,2021021310,cast,Marty,,,FALSE,20210213,46
Kyle Mooney,2021021310,cast,Kenny,,,FALSE,20210213,46
Kenan Thompson,2021021310,cast,Mickey,,,FALSE,20210213,46
Bowen Yang,2021021310,cast,Maurice,,,FALSE,20210213,46
Regina King,2021021311,host,performer,,,FALSE,20210213,46
Aidy Bryant,2021021311,cast,performer,,,FALSE,20210213,46
Mikey Day,2021021311,cast,teacher,,,FALSE,20210213,46
Andrew Dismukes,2021021311,cast,Curtis,,,FALSE,20210213,46
Heidi Gardner,2021021311,cast,teacher,,,FALSE,20210213,46
